STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
1001599999,3/23/1995,61.383,5.867,327,"BRINGELAND, NO",37,16,37,16,9999.9,0,999.9,0,3.9,16,5.6,16,8.9,999.9,39.2,*,33.8,*,99.99, ,999.9,110000
1001599999,3/24/1995,61.383,5.867,327,"BRINGELAND, NO",31.3,13,30.9,13,9999.9,0,999.9,0,3.1,13,4.1,13,9.9,999.9,32,*,30.2,*,99.99, ,999.9,101000
1001599999,3/25/1995,61.383,5.867,327,"BRINGELAND, NO",30.6,8,26.4,8,9999.9,0,999.9,0,4.8,8,5.2,8,8,999.9,32,*,28.4,*,99.99, ,999.9,1000
1001599999,3/26/1995,61.383,5.867,327,"BRINGELAND, NO",29.7,7,25.6,7,9999.9,0,999.9,0,6.2,7,10.7,7,15.9,26,30.2,*,28.4,*,99.99, ,999.9,1000
1001599999,3/27/1995,61.383,5.867,327,"BRINGELAND, NO",22,13,20.5,13,9999.9,0,999.9,0,1.9,13,12.2,13,16.9,28.9,23,*,19.4,*,99.99, ,999.9,1000
1001599999,3/28/1995,61.383,5.867,327,"BRINGELAND, NO",24.4,13,23.8,13,9999.9,0,999.9,0,6.5,13,4.5,13,8,999.9,28.4,*,21.2,*,99.99, ,999.9,1000
1001599999,3/29/1995,61.383,5.867,327,"BRINGELAND, NO",31.8,9,30,9,9999.9,0,999.9,0,7,9,4.8,9,8,999.9,37.4,*,26.6,*,0,I,999.9,0
1001599999,3/30/1995,61.383,5.867,327,"BRINGELAND, NO",33.1,13,25.6,13,9999.9,0,999.9,0,6.5,13,12.6,13,20,999.9,35.6,*,28.4,*,99.99, ,999.9,1000
1001599999,3/31/1995,61.383,5.867,327,"BRINGELAND, NO",37,15,36.2,15,9999.9,0,999.9,0,4,15,6.7,15,11.1,999.9,39.2,*,33.8,*,99.99, ,999.9,10000
1001599999,4/1/1995,61.383,5.867,327,"BRINGELAND, NO",32.4,9,32.4,9,9999.9,0,999.9,0,2.1,9,7.3,9,9.9,999.9,33.8,*,30.2,*,99.99, ,999.9,101000
1001599999,4/2/1995,61.383,5.867,327,"BRINGELAND, NO",27.6,9,23.4,9,9999.9,0,999.9,0,5,9,14.3,9,18.1,32.1,28.4,*,26.6,*,99.99, ,999.9,1000
1001599999,4/3/1995,61.383,5.867,327,"BRINGELAND, NO",25.9,17,25.2,17,9999.9,0,999.9,0,3.5,17,6.2,17,15,999.9,30.2,*,23,*,99.99, ,999.9,1000
1001599999,4/4/1995,61.383,5.867,327,"BRINGELAND, NO",26.4,16,23.4,16,9999.9,0,999.9,0,3.7,16,11.8,16,19,23.9,28.4,*,24.8,*,99.99, ,999.9,1000
1001599999,4/5/1995,61.383,5.867,327,"BRINGELAND, NO",29.5,15,27.9,15,9999.9,0,999.9,0,3.9,15,4,15,6,999.9,32,*,24.8,*,99.99, ,999.9,1000
1001599999,4/6/1995,61.383,5.867,327,"BRINGELAND, NO",35.6,14,35.5,14,9999.9,0,999.9,0,2.4,14,4.8,14,7,999.9,39.2,*,32,*,99.99, ,999.9,110000
1001599999,4/7/1995,61.383,5.867,327,"BRINGELAND, NO",33.3,14,29.9,13,9999.9,0,999.9,0,4.5,14,10.9,14,15.9,25.1,35.6,*,32,*,99.99, ,999.9,11000
1001599999,4/8/1995,61.383,5.867,327,"BRINGELAND, NO",30.4,9,26.8,8,9999.9,0,999.9,0,7,8,6.8,9,11.1,999.9,32,*,28.4,*,99.99, ,999.9,1000
1001599999,4/9/1995,61.383,5.867,327,"BRINGELAND, NO",33.1,10,18.7,10,9999.9,0,999.9,0,7,10,5.2,9,7,999.9,35.6,*,28.4,*,0,I,999.9,0
1001599999,4/10/1995,61.383,5.867,327,"BRINGELAND, NO",30.5,11,30.4,11,9999.9,0,999.9,0,1.7,11,2.8,11,5.1,999.9,32,*,26.6,*,99.99, ,999.9,111000
1001599999,4/11/1995,61.383,5.867,327,"BRINGELAND, NO",36.6,11,35.8,11,9999.9,0,999.9,0,5.6,11,6.6,11,12,999.9,41,*,33.8,*,99.99, ,999.9,110000
1001599999,4/12/1995,61.383,5.867,327,"BRINGELAND, NO",40,15,39,15,9999.9,0,999.9,0,5.5,15,4.2,15,7,999.9,44.6,*,37.4,*,99.99, ,999.9,110000
1001599999,4/13/1995,61.383,5.867,327,"BRINGELAND, NO",40.5,7,38.7,7,9999.9,0,999.9,0,7,7,4.7,7,7,999.9,42.8,*,37.4,*,0,I,999.9,0
1001599999,4/15/1995,61.383,5.867,327,"BRINGELAND, NO",37.4,5,22.6,5,9999.9,0,999.9,0,7,4,10.4,5,11.1,20,9999.9, ,9999.9, ,0,I,999.9,0
1001599999,4/16/1995,61.383,5.867,327,"BRINGELAND, NO",33.5,7,24,7,9999.9,0,999.9,0,7,7,4.3,7,6,999.9,35.6,*,30.2,*,0,I,999.9,0
1001599999,4/17/1995,61.383,5.867,327,"BRINGELAND, NO",32.7,11,18.6,11,9999.9,0,999.9,0,7,11,5.9,11,8,999.9,35.6,*,21.2,*,0,I,999.9,0
1001599999,4/18/1995,61.383,5.867,327,"BRINGELAND, NO",32.6,14,26.5,14,9999.9,0,999.9,0,5.8,14,3.9,14,11.1,999.9,41,*,26.6,*,99.99, ,999.9,1000
1001599999,4/19/1995,61.383,5.867,327,"BRINGELAND, NO",33.4,14,25.3,14,9999.9,0,999.9,0,5.9,14,4.3,14,8.9,999.9,39.2,*,24.8,*,99.99, ,999.9,101000
1001599999,4/20/1995,61.383,5.867,327,"BRINGELAND, NO",36.8,15,26.6,15,9999.9,0,999.9,0,5.5,15,6.2,15,12,999.9,41,*,32,*,99.99, ,999.9,1000
